Constituency_No,Constituency_Name,Constituency_Type,Total_Electors,Candidate_S_No,Candidate_Name,Gender,Age,Category,Party,Symbol,General_Votes,Postal_Votes,Total_Votes,Percentage_of_Valid_Votes,Percentage_of_Total_Electors,Turnout_General,Turnout_Postal,Turnout_Total,Turnout_Percentage
5,BADLI,GENERAL,238865,2,AJESH YADAV,MALE,57,GENERAL,AAAP,Broom,45937,92,46029,30.51,19.27,150495,371,150866,63.16
5,BADLI,GENERAL,238865,3,DEVENDER YADAV,MALE,50,GENERAL,INC,Hand,40980,91,41071,27.22,17.19,150495,371,150866,63.16
5,BADLI,GENERAL,238865,4,RAVINDER KUMAR,MALE,49,SC,BSP,Elephant,723,2,725,0.48,0.3,150495,371,150866,63.16
5,BADLI,GENERAL,238865,5,NOTA,,,NOTA,NOTA,687,5,692,0.46,0.29,150495,371,150866,63.16
5,BADLI,GENERAL,238865,6,PARMOD KUMAR,MALE,46,SC,SUCI,Battery Torch,250,0,250,0.17,0.1,150495,371,150866,63.16
5,BADLI,GENERAL,238865,7,DEVENDER KUMAR YADAV,MALE,28,GENERAL,IND,Bat,235,0,235,0.16,0.1,150495,371,150866,63.16
5,BADLI,GENERAL,238865,8,JAI PAL,MALE,51,GENERAL,IND,Cauliflower,214,0,214,0.14,0.09,150495,371,150866,63.16
5,BADLI,GENERAL,238865,9,ARUN KUMAR,MALE,46,SC,IND,Kettle,158,0,158,0.1,0.07,150495,371,150866,63.16
5,BADLI,GENERAL,238865,10,MULAYAM SINGH,MALE,38,GENERAL,NCP,Clock,92,0,92,0.06,0.04,150495,371,150866,63.16
5,BADLI,GENERAL,238865,11,GOPAL KUMAR SINHA,MALE,39,GENERAL,BSKRP,Auto-rickshaw,76,0,76,0.05,0.03,150495,371,150866,63.16
5,BADLI,GENERAL,238865,12,RAJENDER,MALE,88,SC,AMJNMTP,Basket containing Fruits,68,0,68,0.05,0.03,150495,371,150866,63.16
5,BADLI,GENERAL,238865,13,R. C. SHARMA,MALE,53,GENERAL,SPRP,Scissors,64,0,64,0.04,0.03,150495,371,150866,63.16
6,RITHALA,GENERAL,322320,1,KULWANT RANA,MALE,55,GENERAL,BJP,Lotus,103950,421,104371,55.76,32.38,186520,644,187164,58.07
6,RITHALA,GENERAL,322320,2,MOHINDER GOYAL,MALE,60,GENERAL,AAAP,Broom,74591,164,74755,39.94,23.19,186520,644,187164,58.07
6,RITHALA,GENERAL,322320,3,SUSHANT MISHRA,MALE,46,GENERAL,INC,Hand,5216,42,5258,2.81,1.63,186520,644,187164,58.07
