Constituency_No,Constituency_Name,Constituency_Type,Total_Electors,Candidate_S_No,Candidate_Name,Gender,Age,Category,Party,Symbol,General_Votes,Postal_Votes,Total_Votes,Percentage_of_Valid_Votes,Percentage_of_Total_Electors,Turnout_General,Turnout_Postal,Turnout_Total,Turnout_Percentage
33,DWARKA,GENERAL,224528,1,PARDUYMN SINGH RAJPUT,MALE,60,GENERAL,BJP,Lotus,68832,305,69137,49.56,30.79,138968,536,139504,62.13
33,DWARKA,GENERAL,224528,2,VINAY MISHRA,MALE,42,GENERAL,AAAP,Broom,61136,172,61308,43.95,27.31,138968,536,139504,62.13
33,DWARKA,GENERAL,224528,3,ADARSH SHASTRI,MALE,51,GENERAL,INC,Hand,6723,50,6773,4.86,3.02,138968,536,139504,62.13
33,DWARKA,GENERAL,224528,4,NOTA,,,NOTA,NOTA,725,4,729,0.52,0.32,138968,536,139504,62.13
33,DWARKA,GENERAL,224528,5,PARDEEP KUMAR,MALE,43,GENERAL,BSP,Elephant,541,4,545,0.39,0.24,138968,536,139504,62.13
33,DWARKA,GENERAL,224528,6,RAMESHWAR MAHTO,MALE,46,GENERAL,RSHTMNVP,Nagrik,223,0,223,0.16,0.1,138968,536,139504,62.13
33,DWARKA,GENERAL,224528,7,ASHOK JINDAL,MALE,48,GENERAL,IND,Balloon,172,0,172,0.12,0.08,138968,536,139504,62.13
33,DWARKA,GENERAL,224528,8,ARAVENDRA KUMAR,MALE,47,GENERAL,SBSP,Walking stick,131,0,131,0.09,0.06,138968,536,139504,62.13
33,DWARKA,GENERAL,224528,9,RAJNEESH KUMAR JHA,MALE,41,GENERAL,NYP,Belt,130,0,130,0.09,0.06,138968,536,139504,62.13
33,DWARKA,GENERAL,224528,10,GAUTAM SINGH BIHARI,MALE,36,GENERAL,IND,Vacuum cleaner,104,0,104,0.07,0.05,138968,536,139504,62.13
33,DWARKA,GENERAL,224528,11,MEHAR CHARAN,MALE,56,GENERAL,SMJVKP,Electric pole,76,0,76,0.05,0.03,138968,536,139504,62.13
33,DWARKA,GENERAL,224528,12,RAVI RATHORE,MALE,40,GENERAL,rpsn,Gas cylinder,73,1,74,0.05,0.03,138968,536,139504,62.13
33,DWARKA,GENERAL,224528,13,G. THULASEEDHARAN,MALE,60,GENERAL,PpGP,Bucket,58,0,58,0.04,0.03,138968,536,139504,62.13
33,DWARKA,GENERAL,224528,14,YOGESH SWAMI,MALE,44,GENERAL,RTORP,Pressure cooker,44,0,44,0.03,0.02,138968,536,139504,62.13
34,MATIALA,GENERAL,456137,1,SANDEEP SEHRAWAT,MALE,32,GENERAL,BJP,Lotus,144938,1357,146295,52.46,32.07,276836,2058,278894,61.14
34,MATIALA,GENERAL,456137,2,SUMESH SHOKEEN,MALE,51,GENERAL,AAAP,Broom,117042,530,117572,42.16,25.78,276836,2058,278894,61.14
34,MATIALA,GENERAL,456137,3,RAGHVINDER SINGH,MALE,53,GENERAL,INC,Hand,9565,120,9685,3.47,2.12,276836,2058,278894,61.14
34,MATIALA,GENERAL,456137,4,NOTA,,,NOTA,NOTA,1994,24,2018,0.72,0.44,276836,2058,278894,61.14
34,MATIALA,GENERAL,456137,5,KAMLESH KUMAR,MALE,34,SC,BSP,Elephant,1116,18,1134,0.41,0.25,276836,2058,278894,61.14
34,MATIALA,GENERAL,456137,6,YOGESH KUMAR,MALE,39,GENERAL,IND,Bat,569,0,569,0.2,0.12,276836,2058,278894,61.14
34,MATIALA,GENERAL,456137,7,PUNAM PANDEY,FEMALE,49,GENERAL,IND,Green chilli,498,3,501,0.18,0.11,276836,2058,278894,61.14
34,MATIALA,GENERAL,456137,8,ARVIND KUMAR PANDEY,MALE,40,GENERAL,RJSPS,Chakki,345,0,345,0.12,0.08,276836,2058,278894,61.14
34,MATIALA,GENERAL,456137,9,RAJNI SHARMA,FEMALE,38,GENERAL,IND,Almirah,174,0,174,0.06,0.04,276836,2058,278894,61.14
34,MATIALA,GENERAL,456137,10,PRABHAT KUMAR,MALE,42,GENERAL,OBCP,Apple,157,5,162,0.06,0.04,276836,2058,278894,61.14
34,MATIALA,GENERAL,456137,11,VINOD KUMAR CHAUHAN,MALE,46,GENERAL,SBSP,Walking stick,156,1,157,0.06,0.03,276836,2058,278894,61.14
34,MATIALA,GENERAL,456137,12,YOGESH KUMAR SHARMA,MALE,46,GENERAL,RTORP,Pressure cooker,121,0,121,0.04,0.03,276836,2058,278894,61.14
34,MATIALA,GENERAL,456137,13,MOHINDER SINGH,MALE,35,SC,RRP,Air conditioner,88,0,88,0.03,0.02,276836,2058,278894,61.14
34,MATIALA,GENERAL,456137,14,NIRAJ KUMAR,MALE,45,GENERAL,NYP,Belt,73,0,73,0.03,0.02,276836,2058,278894,61.14
35,NAJAFGARH,GENERAL,278988,1,NEELAM PAHALWAN,FEMALE,43,GENERAL,BJP,Lotus,100058,1650,101708,56.4,36.46,177874,2460,180334,64.64
35,NAJAFGARH,GENERAL,278988,2,TARUN KUMAR,MALE,49,GENERAL,AAAP,Broom,72024,675,72699,40.31,26.06,177874,2460,180334,64.64
35,NAJAFGARH,GENERAL,278988,3,SUSHMA DEVI YADAV,FEMALE,56,GENERAL,INC,Hand,2839,63,2902,1.61,1.04,177874,2460,180334,64.64
35,NAJAFGARH,GENERAL,278988,4,NOTA,,,NOTA,NOTA,1317,29,1346,0.75,0.48,177874,2460,180334,64.64
35,NAJAFGARH,GENERAL,278988,5,ROHIT,MALE,34,SC,BSP,Elephant,873,30,903,0.5,0.32,177874,2460,180334,64.64
35,NAJAFGARH,GENERAL,278988,6,MANGE RAM SANGWAN,MALE,72,GENERAL,IND,Whistle,222,3,225,0.12,0.08,177874,2460,180334,64.64
35,NAJAFGARH,GENERAL,278988,7,JALANDHAR PANDIT,MALE,55,GENERAL,PBI,Flute,210,4,214,0.12,0.08,177874,2460,180334,64.64
35,NAJAFGARH,GENERAL,278988,8,MANOJ KUMAR,MALE,38,GENERAL,IND,Bat,173,0,173,0.1,0.06,177874,2460,180334,64.64
35,NAJAFGARH,GENERAL,278988,9,BHARAT SINGH,MALE,53,SC,PPID,"Basket containing Fruits",88,5,93,0.05,0.03,177874,2460,180334,64.64
35,NAJAFGARH,GENERAL,278988,10,RAHUL KUMAR,MALE,43,GENERAL,RTORP,Pressure cooker,70,1,71,0.04,0.03,177874,2460,180334,64.64
36,BIJWASAN,GENERAL,212804,1,KAILASH GAHLOT,MALE,50,GENERAL,BJP,Lotus,64587,364,64951,49.77,30.52,129845,659,130504,61.33
36,BIJWASAN,GENERAL,212804,2,SURENDER BHARDWAJ,MALE,47,GENERAL,AAAP,Broom,53462,213,53675,41.13,25.22,129845,659,130504,61.33
36,BIJWASAN,GENERAL,212804,3,COL DEVINDER KUMAR SEHRAWAT,MALE,59,GENERAL,INC,Hand,9334,75,9409,7.21,4.42,129845,659,130504,61.33
36,BIJWASAN,GENERAL,212804,4,NOTA,,,NOTA,NOTA,755,1,756,0.58,0.36,129845,659,130504,61.33
36,BIJWASAN,GENERAL,212804,5,KAMAL SINGH,MALE,50,SC,BSP,Elephant,698,4,702,0.54,0.33,129845,659,130504,61.33
36,BIJWASAN,GENERAL,212804,6,MONIS KURESHI,MALE,33,GENERAL,IND,Chimney,225,0,225,0.17,0.11,129845,659,130504,61.33
36,BIJWASAN,GENERAL,212804,7,NISHANT SEHRAWAT,MALE,38,GENERAL,IND,Razor,192,1,193,0.15,0.09,129845,659,130504,61.33
36,BIJWASAN,GENERAL,212804,8,PUNAM PANDEY,FEMALE,49,GENERAL,RLPI,Green chilli,153,0,153,0.12,0.07,129845,659,130504,61.33
36,BIJWASAN,GENERAL,212804,9,AMRINA,FEMALE,30,GENERAL,IND,CCTV Camera,113,0,113,0.09,0.05,129845,659,130504,61.33
36,BIJWASAN,GENERAL,212804,10,NARENDER SINGH,MALE,44,GENERAL,rpsn,Gas cylinder,96,0,96,0.07,0.05,129845,659,130504,61.33
36,BIJWASAN,GENERAL,212804,11,SOM DUTT SHARMA,MALE,59,GENERAL,IND,Almirah,91,1,92,0.07,0.04,129845,659,130504,61.33
36,BIJWASAN,GENERAL,212804,12,NAVEEN KUMAR,MALE,36,GENERAL,HSVP,Binoculars,91,0,91,0.07,0.04,129845,659,130504,61.33
36,BIJWASAN,GENERAL,212804,13,LALITA TRIVEDI,FEMALE,28,GENERAL,BKrD,Diesel pump,48,0,48,0.04,0.02,129845,659,130504,61.33
37,PALAM,GENERAL,259806,1,KULDEEP SOLANKI,MALE,58,GENERAL,BJP,Lotus,81589,457,82046,50.45,31.58,161848,767,162615,62.59
37,PALAM,GENERAL,259806,2,JOGINDER SOLANKI,MALE,42,GENERAL,AAAP,Broom,72844,250,73094,44.95,28.13,161848,767,162615,62.59
37,PALAM,GENERAL,259806,3,MANGE RAM,MALE,56,GENERAL,INC,Hand,4655,42,4697,2.89,1.81,161848,767,162615,62.59
37,PALAM,GENERAL,259806,4,NOTA,,,NOTA,NOTA,1109,10,1119,0.69,0.43,161848,767,162615,62.59
37,PALAM,GENERAL,259806,5,GEETA,FEMALE,39,GENERAL,BSP,Elephant,805,5,810,0.5,0.31,161848,767,162615,62.59
37,PALAM,GENERAL,259806,6,DILIP KUMAR,MALE,46,GENERAL,CPI,"Ears of corn and sickle",325,1,326,0.2,0.13,161848,767,162615,62.59
37,PALAM,GENERAL,259806,7,PRASHANT CHAUHAN,MALE,30,GENERAL,IND,Diamond,301,1,302,0.19,0.12,161848,767,162615,62.59
37,PALAM,GENERAL,259806,8,MANU GAUTAM,FEMALE,31,GENERAL,PPID,"Basket containing Fruits",220,1,221,0.14,0.09,161848,767,162615,62.59
38,DELHI CANTT,GENERAL,80041,1,VIRENDER SINGH KADIAN,MALE,49,GENERAL,AAAP,Broom,22140,51,22191,46.76,27.72,47293,165,47458,59.29
38,DELHI CANTT,GENERAL,80041,2,BHUVAN TANWAR,MALE,36,GENERAL,BJP,Lotus,20073,89,20162,42.48,25.19,47293,165,47458,59.29
38,DELHI CANTT,GENERAL,80041,3,PRADEEP KUMAR UPMANYU,MALE,63,GENERAL,INC,Hand,4230,22,4252,8.96,5.31,47293,165,47458,59.29
38,DELHI CANTT,GENERAL,80041,4,NOTA,,,NOTA,NOTA,327,3,330,0.7,0.41,47293,165,47458,59.29
38,DELHI CANTT,GENERAL,80041,5,NAMIT KUMAR GAUTAM,MALE,26,SC,BSP,Elephant,232,0,232,0.49,0.29,47293,165,47458,59.29
38,DELHI CANTT,GENERAL,80041,6,ASHOK AGYANI,MALE,54,GENERAL,IND,Sitar,149,0,149,0.31,0.19,47293,165,47458,59.29
38,DELHI CANTT,GENERAL,80041,7,SURENDER KUMAR,MALE,51,SC,PPID,"Basket containing Fruits",72,0,72,0.15,0.09,47293,165,47458,59.29
38,DELHI CANTT,GENERAL,80041,8,SACHIN,MALE,31,SC,BSKRP,Auto-rickshaw,70,0,70,0.15,0.09,47293,165,47458,59.29
39,RAJINDER NAGAR,GENERAL,158029,1,UMANG BAJAJ,MALE,31,GENERAL,BJP,Lotus,46391,280,46671,48.01,29.53,96751,460,97211,61.51
39,RAJINDER NAGAR,GENERAL,158029,2,DURGESH PATHAK,MALE,36,GENERAL,AAAP,Broom,45290,150,45440,46.74,28.75,96751,460,97211,61.51
39,RAJINDER NAGAR,GENERAL,158029,3,VINEET YADAV,MALE,30,GENERAL,INC,Hand,3995,20,4015,4.13,2.54,96751,460,97211,61.51
39,RAJINDER NAGAR,GENERAL,158029,4,NOTA,,,NOTA,NOTA,565,6,571,0.59,0.36,96751,460,97211,61.51
39,RAJINDER NAGAR,GENERAL,158029,5,PRAVEEN KUMAR BHARTI,MALE,44,GENERAL,ASPKR,Kettle,155,0,155,0.16,0.1,96751,460,97211,61.51
39,RAJINDER NAGAR,GENERAL,158029,6,SHIV PRASAD VERMA,MALE,58,GENERAL,BSP,Elephant,147,3,150,0.15,0.09,96751,460,97211,61.51
39,RAJINDER NAGAR,GENERAL,158029,7,UMANG,MALE,25,GENERAL,IND,Cauliflower,143,1,144,0.15,0.09,96751,460,97211,61.51
39,RAJINDER NAGAR,GENERAL,158029,8,PANKAJ JAGYA,MALE,46,GENERAL,RPPRINAT,Coconut farm,65,0,65,0.07,0.04,96751,460,97211,61.51
40,NEW DELHI,GENERAL,108788,1,PARVESH SAHIB SINGH,MALE,47,GENERAL,BJP,Lotus,29878,210,30088,48.82,27.66,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,2,ARVIND KEJRIWAL,MALE,56,GENERAL,AAAP,Broom,25865,134,25999,42.18,23.9,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,3,SANDEEP DIKSHIT,MALE,60,GENERAL,INC,Hand,4531,37,4568,7.41,4.2,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,4,NOTA,,,NOTA,NOTA,306,8,314,0.51,0.29,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,5,VIRENDER,MALE,27,SC,BSP,Elephant,142,0,142,0.23,0.13,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,6,DR. MUNISH KUMAR RAIZADA,MALE,56,GENERAL,BHLBP,Dustbin,75,1,76,0.12,0.07,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,7,ANURADHA RANA,FEMALE,48,SC,IND,Bat,72,0,72,0.12,0.07,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,8,ANITA,FEMALE,34,GENERAL,IND,Pencil box,55,0,55,0.09,0.05,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,9,SANTOSH RAI,MALE,50,GENERAL,ABHNVBHRTP,"Pen nib with seven rays",53,0,53,0.09,0.05,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,10,DUGGIRALA NAGESWARA RAO,MALE,40,GENERAL,JJSP,Green chilli,39,0,39,0.06,0.04,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,11,NARESH KUMAR,MALE,66,GENERAL,AAPP,Battery Torch,37,0,37,0.06,0.03,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,12,DR. ABHILASHA,FEMALE,49,GENERAL,IND,CCTV Camera,31,0,31,0.05,0.03,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,13,SANTOSH KUMAR,MALE,48,GENERAL,RTORP,Pressure cooker,30,0,30,0.05,0.03,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,14,JAGDEESH PRASAD,MALE,59,GENERAL,SAMBHP,Diamond,22,0,22,0.04,0.02,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,15,ARUN KUMAR SHARMA,MALE,72,GENERAL,DJP,Whistle,21,0,21,0.03,0.02,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,16,SANJAY RAWAT,MALE,51,GENERAL,IND,Football player,16,1,17,0.03,0.02,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,17,RAVINDER SINGH RAWAT,MALE,41,GENERAL,HRJSP,Gas cylinder,14,1,15,0.02,0.01,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,18,BHAWANA,FEMALE,25,GENERAL,IND,Sitar,11,0,11,0.02,0.01,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,19,HAIDER ALI,MALE,34,GENERAL,IND,Harmonium,9,0,9,0.01,0.01,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,20,PANKAJ SHARMA,MALE,39,GENERAL,IND,Shoe,9,0,9,0.01,0.01,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,21,SANGHA NAND BAUDDH,MALE,52,GENERAL,BHMS,Auto-rickshaw,8,0,8,0.01,0.01,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,22,MUKESH JAIN,MALE,62,GENERAL,RSTJLKPS,Cot,8,0,8,0.01,0.01,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,23,NITYA NAND SINGH,MALE,50,GENERAL,RSHTMNVP,Nagrik,8,0,8,0.01,0.01,61244,392,61636,56.66
40,NEW DELHI,GENERAL,108788,24,ISHWAR CHAND,MALE,72,SC,BDPty,Iron,4,0,4,0.01,0,61244,392,61636,56.66
41,JANGPURA,GENERAL,148236,1,TARVINDER SINGH MARWAH,MALE,64,GENERAL,BJP,Lotus,38675,184,38859,45.44,26.21,85193,318,85511,57.69
41,JANGPURA,GENERAL,148236,2,MANISH SISODIA,MALE,52,GENERAL,AAAP,Broom,38081,103,38184,44.65,25.76,85193,318,85511,57.69
41,JANGPURA,GENERAL,148236,3,FARHAD SURI,MALE,68,GENERAL,INC,Hand,7324,26,7350,8.6,4.96,85193,318,85511,57.69
41,JANGPURA,GENERAL,148236,4,NOTA,,,NOTA,NOTA,438,3,441,0.52,0.3,85193,318,85511,57.69
41,JANGPURA,GENERAL,148236,5,ASHOK BAMBANI,MALE,54,GENERAL,IND,"Tennis racket & ball",170,1,171,0.2,0.12,85193,318,85511,57.69
41,JANGPURA,GENERAL,148236,6,RAVINDRA SINGH RAVIYODAYA,MALE,58,GENERAL,BSP,Elephant,154,1,155,0.18,0.1,85193,318,85511,57.69
41,JANGPURA,GENERAL,148236,7,BIJENDER,MALE,29,GENERAL,HRJSP,Battery Torch,119,0,119,0.14,0.08,85193,318,85511,57.69
41,JANGPURA,GENERAL,148236,8,SUNIL KUMAR KUKREJA,MALE,63,GENERAL,IND,Batsman,80,0,80,0.09,0.05,85193,318,85511,57.69
41,JANGPURA,GENERAL,148236,9,RAKESH SAGAR,MALE,59,SC,BLIP,Kettle,78,0,78,0.09,0.05,85193,318,85511,57.69
41,JANGPURA,GENERAL,148236,10,ANIL KUMAR,MALE,48,GENERAL,BhaRP,Whistle,74,0,74,0.09,0.05,85193,318,85511,57.69
42,KASTURBA NAGAR,GENERAL,155607,1,NEERAJ BASOYA,MALE,49,GENERAL,BJP,Lotus,37896,171,38067,45.06,24.46,84148,335,84483,54.29
42,KASTURBA NAGAR,GENERAL,155607,2,ABHISHEK DUTT,MALE,44,GENERAL,INC,Hand,26918,101,27019,31.98,17.36,84148,335,84483,54.29
42,KASTURBA NAGAR,GENERAL,155607,3,RAMESH PAHELWAN,MALE,53,GENERAL,AAAP,Broom,18558,59,18617,22.04,11.96,84148,335,84483,54.29
42,KASTURBA NAGAR,GENERAL,155607,4,NOTA,,,NOTA,NOTA,470,2,472,0.56,0.3,84148,335,84483,54.29
42,KASTURBA NAGAR,GENERAL,155607,5,PARTEEK GUPTA,MALE,36,GENERAL,IND,Battery Torch,157,1,158,0.19,0.1,84148,335,84483,54.29
42,KASTURBA NAGAR,GENERAL,155607,6,MAHESH KUMAR,MALE,36,SC,BSP,Elephant,149,1,150,0.18,0.1,84148,335,84483,54.29
43,MALVIYA NAGAR,GENERAL,156372,1,SATISH UPADHYAY,MALE,62,GENERAL,BJP,Lotus,39216,348,39564,46.53,25.3,84491,544,85035,54.38
43,MALVIYA NAGAR,GENERAL,156372,2,SOMNATH BHARTI,MALE,50,GENERAL,AAAP,Broom,37280,153,37433,44.02,23.94,84491,544,85035,54.38
43,MALVIYA NAGAR,GENERAL,156372,3,JITENDER KUMAR KOCHAR,MALE,60,GENERAL,INC,Hand,6734,36,6770,7.96,4.33,84491,544,85035,54.38
43,MALVIYA NAGAR,GENERAL,156372,4,NOTA,,,NOTA,NOTA,526,6,532,0.63,0.34,84491,544,85035,54.38
43,MALVIYA NAGAR,GENERAL,156372,5,CHARANJEET KAUR,FEMALE,61,GENERAL,BSP,Elephant,237,1,238,0.28,0.15,84491,544,85035,54.38
43,MALVIYA NAGAR,GENERAL,156372,6,MEGHNAD S.,MALE,35,GENERAL,IND,"Pen nib with seven rays",192,0,192,0.23,0.12,84491,544,85035,54.38
43,MALVIYA NAGAR,GENERAL,156372,7,DR. BHUPENDRA CHAURASIYA,MALE,37,GENERAL,YBRP,Bat,162,0,162,0.19,0.1,84491,544,85035,54.38
43,MALVIYA NAGAR,GENERAL,156372,8,BHAVISH DHANKAR,MALE,38,GENERAL,BRJ,Battery Torch,144,0,144,0.17,0.09,84491,544,85035,54.38
44,R. K. PURAM,GENERAL,141016,1,ANIL KUMAR SHARMA,MALE,53,GENERAL,BJP,Lotus,42965,295,43260,56.55,30.68,76017,486,76503,54.25
44,R. K. PURAM,GENERAL,141016,2,PRAMILA TOKAS,FEMALE,47,GENERAL,AAAP,Broom,28652,155,28807,37.65,20.43,76017,486,76503,54.25
44,R. K. PURAM,GENERAL,141016,3,VISHESH KUMAR,MALE,38,GENERAL,INC,Hand,3048,31,3079,4.02,2.18,76017,486,76503,54.25
44,R. K. PURAM,GENERAL,141016,4,NOTA,,,NOTA,NOTA,545,4,549,0.72,0.39,76017,486,76503,54.25
44,R. K. PURAM,GENERAL,141016,5,SUNIL KAIN,MALE,49,SC,BSP,Elephant,202,0,202,0.26,0.14,76017,486,76503,54.25
44,R. K. PURAM,GENERAL,141016,6,RAMESH ADVOCATE,MALE,39,SC,IND,Flute,100,0,100,0.13,0.07,76017,486,76503,54.25
44,R. K. PURAM,GENERAL,141016,7,NEERAJ CHOURASIYA,MALE,35,GENERAL,YBRP,Bat,99,0,99,0.13,0.07,76017,486,76503,54.25
44,R. K. PURAM,GENERAL,141016,8,PERMILA,FEMALE,45,GENERAL,IND,Battery Torch,87,1,88,0.12,0.06,76017,486,76503,54.25
44,R. K. PURAM,GENERAL,141016,9,LOKESH KUMAR MASTERJI,MALE,48,GENERAL,RRP,Computer,76,0,76,0.1,0.05,76017,486,76503,54.25
44,R. K. PURAM,GENERAL,141016,10,RAI SINGH,MALE,67,GENERAL,IND,Auto-rickshaw,76,0,76,0.1,0.05,76017,486,76503,54.25
44,R. K. PURAM,GENERAL,141016,11,KULDEEP SINGH AHLAWAT,MALE,62,GENERAL,IND,Matchbox,55,0,55,0.07,0.04,76017,486,76503,54.25
44,R. K. PURAM,GENERAL,141016,12,VIJAY KUMAR,MALE,58,SC,PPID,"Basket containing Fruits",52,0,52,0.07,0.04,76017,486,76503,54.25
44,R. K. PURAM,GENERAL,141016,13,SARAVANAN,MALE,42,GENERAL,RSHTMNVP,Nagrik,35,0,35,0.05,0.02,76017,486,76503,54.25
44,R. K. PURAM,GENERAL,141016,14,ABHA JHA,FEMALE,43,GENERAL,BTMSP,Telephone,25,0,25,0.03,0.02,76017,486,76503,54.25
45,MEHRAULI,GENERAL,217863,1,GAJENDER SINGH YADAV,MALE,48,GENERAL,BJP,Lotus,48022,327,48349,41.67,22.19,115419,615,116034,53.26
45,MEHRAULI,GENERAL,217863,2,MAHENDER CHAUDHARY,MALE,40,GENERAL,AAAP,Broom,46426,141,46567,40.13,21.37,115419,615,116034,53.26
45,MEHRAULI,GENERAL,217863,3,BALYOGI BABA BALAKNATH,MALE,34,GENERAL,IND,Battery Torch,9685,46,9731,8.39,4.47,115419,615,116034,53.26
45,MEHRAULI,GENERAL,217863,4,PUSHPA SINGH,FEMALE,56,GENERAL,INC,Hand,9250,88,9338,8.05,4.29,115419,615,116034,53.26
45,MEHRAULI,GENERAL,217863,5,NOTA,,,NOTA,NOTA,840,6,846,0.73,0.39,115419,615,116034,53.26
45,MEHRAULI,GENERAL,217863,6,YOGESHWAR SINGH BISHT,MALE,51,GENERAL,BSP,Elephant,771,7,778,0.67,0.36,115419,615,116034,53.26
45,MEHRAULI,GENERAL,217863,7,MAHAVIR SINGH,MALE,49,GENERAL,MTRBHMSWP,Laptop,181,0,181,0.16,0.08,115419,615,116034,53.26
45,MEHRAULI,GENERAL,217863,8,SHARDA SINGH,MALE,37,GENERAL,RTORP,Pressure cooker,140,0,140,0.12,0.06,115419,615,116034,53.26
45,MEHRAULI,GENERAL,217863,9,VIJAY LAL TAMTA,MALE,44,GENERAL,PPID,"Basket containing Fruits",104,0,104,0.09,0.05,115419,615,116034,53.26
46,CHHATARPUR,GENERAL,260835,1,KARTAR SINGH TANWAR,MALE,62,GENERAL,BJP,Lotus,80128,341,80469,48.98,30.85,163683,616,164299,62.99
46,CHHATARPUR,GENERAL,260835,2,BRAHM SINGH TANWAR,MALE,72,GENERAL,AAAP,Broom,74029,201,74230,45.18,28.46,163683,616,164299,62.99
46,CHHATARPUR,GENERAL,260835,3,RAJENDER SINGH TANWAR,MALE,65,GENERAL,INC,Hand,6550,51,6601,4.02,2.53,163683,616,164299,62.99
46,CHHATARPUR,GENERAL,260835,4,NOTA,,,NOTA,NOTA,862,6,868,0.53,0.33,163683,616,164299,62.99
46,CHHATARPUR,GENERAL,260835,5,BRIJ LAL,MALE,47,SC,BSP,Elephant,739,11,750,0.46,0.29,163683,616,164299,62.99
46,CHHATARPUR,GENERAL,260835,6,DINESH TANWAR,MALE,45,GENERAL,AAPP,Battery Torch,293,0,293,0.18,0.11,163683,616,164299,62.99
46,CHHATARPUR,GENERAL,260835,7,DHARMENDER,MALE,53,SC,IND,Pan,268,1,269,0.16,0.1,163683,616,164299,62.99
46,CHHATARPUR,GENERAL,260835,8,SANJAY NEGI,MALE,48,GENERAL,IND,Bat,220,1,221,0.13,0.08,163683,616,164299,62.99
46,CHHATARPUR,GENERAL,260835,9,ISLAM ALI,MALE,67,GENERAL,ASPKR,Kettle,180,1,181,0.11,0.07,163683,616,164299,62.99
46,CHHATARPUR,GENERAL,260835,10,NARENDER,MALE,41,GENERAL,NCP,Clock,173,0,173,0.11,0.07,163683,616,164299,62.99
46,CHHATARPUR,GENERAL,260835,11,DAYA RAM GURJAR,MALE,53,GENERAL,IND,Apple,164,3,167,0.1,0.06,163683,616,164299,62.99
46,CHHATARPUR,GENERAL,260835,12,RICHA KUMARI,FEMALE,33,GENERAL,rpsn,Gas cylinder,77,0,77,0.05,0.03,163683,616,164299,62.99
47,DEOLI,SC,264359,1,PREM CHAUHAN,MALE,37,SC,AAAP,Broom,86774,115,86889,55.09,32.87,157434,300,157734,59.67
47,DEOLI,SC,264359,2,DEEPAK TANWAR,MALE,46,SC,LJPRV,Helicopter,50124,85,50209,31.83,18.99,157434,300,157734,59.67
47,DEOLI,SC,264359,3,RAJESH CHAUHAN,MALE,54,SC,INC,Hand,12147,64,12211,7.74,4.62,157434,300,157734,59.67
47,DEOLI,SC,264359,4,ASMITA,FEMALE,30,SC,BSP,Elephant,2569,12,2581,1.64,0.98,157434,300,157734,59.67
47,DEOLI,SC,264359,5,RAJA RAM,MALE,51,SC,BhaRP,Diamond,2225,4,2229,1.41,0.84,157434,300,157734,59.67
47,DEOLI,SC,264359,6,NOTA,,,NOTA,NOTA,2116,14,2130,1.35,0.81,157434,300,157734,59.67
47,DEOLI,SC,264359,7,BACHAN RAM,MALE,67,SC,MTRBHMSWP,Laptop,943,4,947,0.6,0.36,157434,300,157734,59.67
47,DEOLI,SC,264359,8,DEVIKA,FEMALE,52,SC,RASLJP,Sewing machine,536,2,538,0.34,0.2,157434,300,157734,59.67
48,AMBEDKAR NAGAR,SC,162952,1,DR. AJAY DUTT,MALE,49,SC,AAAP,Broom,46122,163,46285,47.62,28.4,96790,399,97189,59.64
48,AMBEDKAR NAGAR,SC,162952,2,KHUSHI RAM CHUNAR,MALE,50,SC,BJP,Lotus,41877,178,42055,43.27,25.81,96790,399,97189,59.64
48,AMBEDKAR NAGAR,SC,162952,3,JAI PRAKASH,MALE,41,SC,INC,Hand,7129,43,7172,7.38,4.4,96790,399,97189,59.64
48,AMBEDKAR NAGAR,SC,162952,4,NOTA,,,NOTA,NOTA,497,1,498,0.51,0.31,96790,399,97189,59.64
48,AMBEDKAR NAGAR,SC,162952,5,SEWA DASS,MALE,67,SC,BSP,Elephant,390,7,397,0.41,0.24,96790,399,97189,59.64
48,AMBEDKAR NAGAR,SC,162952,6,ARUN,MALE,38,SC,HRJSP,Battery Torch,302,0,302,0.31,0.19,96790,399,97189,59.64
